,Variable,Type,Description
84,REV_AMT_BASE_6,Num,Revenue amount in base 6 month
85,CURR_PRICE_PLAN_CD,Char,Current price plan code
86,CURR_PAY_METHOD_CD,Char,Current payment method code
87,POSTAL_CD,Char,Client Post Code
88,PREV_PRICE_PLAN_CD,Char,Previous Pricing Plan Code
89,CUST_AGE,Num,Customer age
90,AVG_DISTINCT_CELL_CNT,Num,Average distinct cell sites visited count
91,MOST_FREQ_COMPLAINT_CD,Char,Most frequent complaint code
92,CUST_SPEC_NO_CNT,Num,Special number count
93,PCT_CHNG_OB_INTL_CNT,Num,Percent change of latest 2 months international calls wrt previous 4 months nternational calls
94,PCT_CHNG_IB_SMS_CNT,Num,Percent change of latest 2 months incoming SMS wrt previous 4 months incoming SMS
95,PCT_CHNG_OB_LOC_CNT,Num,Percent change of latest 2 months local calls wrt previous 4 months local calls
96,PCT_CHNG_OB_NAT_CNT,Num,Percent change of latest 2 months outbound national calls wrt previous 4 months outbound national calls
97,PCT_CHNG_OB_LOC_SMS_CNT,Num,Percent change of latest 2 months outgoing local SMS wrt previous 4 months outgoing local SMS
98,PCT_CHNG_OB_WAP_CNT,Num,Percent change of latest 2 months outbound WAP wrt previous 4 months outbound WAP
99,PROPN_IB_LOW_DUR,Num,Proportion of inbound call in low rate period
100,RATIO_SPEC_SMS_SMS_REV_AMT,Num,Ratio of special SMS revenue amount to SMS revenue amount
101,PCT_CHNG_SUSPENDED_CNT,Num,Percent change of latest 2 months suspended calls wrt previous 4 months suspended calls
102,PCT_CHNG_BILL_AMT,Num,Percent change of latest 2 months bill amount wrt previous 4 months bill amount
103,CUST_SUBS_ID,Num,Subscription identifier
104,TOT_REV_AMT,Num,Customer Value
105,TOT_PROF_AMT,Num,Total profitability of a subscription
106,CUST_ID,Num,Customer identifier
107,name,Char,Subscriber Name
108,CHURN_FLG,Char,Churn flag
